genesymbol,Cell_type
PNLIP,Acinar
CPA1,Acinar
CPB1,Acinar
PRSS2,Acinar
KLK1,Acinar
CUZD1,Acinar
AMY2A,Acinar
CTRB2,Acinar
CTRL,Acinar
CLPS,Acinar
GCG,Alpha
CRH,Alpha
SPOCK3,Alpha
F10,Alpha
IRX2,Alpha
POPDC3,Alpha
C5orf38,Alpha
GC,Alpha
SPINK4,Alpha
TMEM236,Alpha
MAFA,Beta
IAPP,Beta
ADCYAP1,Beta
INS,Beta
AC132217.2,Beta
LRRTM3,Beta
HHATL,Beta
SAMD11,Beta
C1orf127,Beta
WSCD2,Beta
SST,Delta
GPC5-AS11,Delta
LRFN5,Delta
LY6H1,Delta
BCHE,Delta
CALB11,Delta
LINC01571,Delta
CBLN4,Delta
CRYGD,Delta
F5,Delta
FGFBP1,Ductal
CFTR,Ductal
MMP7,Ductal
KRT23,Ductal
S100A14,Ductal
KRT19,Ductal
LGALS4,Ductal
CEACAM7,Ductal
VTCN1,Ductal
TRPV6,Ductal
PLVAP,Endothelial
KDR,Endothelial
ESM1,Endothelial
VWF,Endothelial
PCAT19,Endothelial
PECAM1,Endothelial
CLDN5,Endothelial
CLEC14A,Endothelial
ADGRL4,Endothelial
FCN3,Endothelial
PPY,Gamma+Epsilon
CARTPT,Gamma+Epsilon
NPW,Gamma+Epsilon
GPC5-AS1,Gamma+Epsilon
CALB1,Gamma+Epsilon
SERTM1,Gamma+Epsilon
LY6H,Gamma+Epsilon
GHRL,Gamma+Epsilon
ERICH3,Gamma+Epsilon
PRG4,Gamma+Epsilon
C1QA,Macrophage
C1QB,Macrophage
C1QC,Macrophage
TYROBP,Macrophage
SDS,Macrophage
LAPTM5,Macrophage
MS4A7,Macrophage
RGS1,Macrophage
ITGB2,Macrophage
GPR183,Macrophage
TPSB2,Mast
TPSAB1,Mast
CD69,Mast
SAMSN1,Mast
CD37,Mast
CD48,Mast
KIT,Mast
GCSAML,Mast
SRGN,Mast
ITGAX,Mast
COL3A1,Stellate
DCN,Stellate
LUM,Stellate
SFRP2,Stellate
PTGDS,Stellate
PRRX1,Stellate
COL1A2,Stellate
BGN,Stellate
C7,Stellate
COL6A3,Stellate
